Title,Subtitle,Content
Sec. 40-4.,Users liable for bills.,"(a)

               Where there are different consumers liable for water or sewer charges, and where one
               or more consumers so liable leave such premises, such consumers so leaving shall not
               be supplied with water at the new premises occupied by them until all accounts due
               by such persons shall have been paid. Where any consumer is liable to the city for
               such charges at one place and is thereafter located using water at some other place,
               the water shall be turned off at the new location until all valid accounts past due
               are paid.

               (b)

               Where two or more families or unrelated individuals occupy the same house or apartment,
               and the water or sewer account is in the name of one family or unrelated individual,
               if the one in whose name the account stands moves away, the remaining family or unrelated
               individual is also responsible for the unpaid water or sewer bills.

               (Code 2008, § 51.04)"
Sec. 40-5.,Reserved.,"Editor's note— 
               Ord. No.
               
                  2018-024
                  
               , § 1, adopted November 19, 2018, amended the Code by repealing former § 40-5 in its
               entirety. Former § 40-5 pertained to the prohibition of service to other premises
               when an account is delinquent; and derived from the Code of 2008, § 51.05."
Sec. 40-6.,Right of entry.,"A duly authorized representative and/or agent of the city, bearing proper credentials
               and identification, shall have the right at all reasonable times to go upon privately
               owned property for the purpose of inspection of water service lines or mains and sewer
               connections and drains and all other related lines or equipment. Upon refusal of the
               right to make such inspections, any duly authorized representative and/or agent of
               the city shall have the right to disconnect from such privately owned property all
               city sewer and water connections.

               (Code 2008, § 51.06)"
Sec. 40-7.,False statements in application.,"(a)

               If any person shall make false statements in the application for water or sewer service,
               he shall be deemed guilty of a misdemeanor.

               (b)

               Any consumer who discontinues his place of business or moves from his residence and
               leaves a bill for water service or any other services due the city and makes application
               for service at some other address, either under his own name or under a different
               name, without stating to the city the old address and name under which water or sewer
               services were used at the address where there is a bill due, shall be guilty of a
               misdemeanor.

               (Code 2008, § 51.07)"
Sec. 40-8.,Tampering with lines.,"Any person who shall tamper with, alter, change, bypass, divert, or connect to any
               water or sewer mains or service lines owned by the city without first obtaining permission
               or consent of said city shall be guilty of a misdemeanor.

               (Code 2008, § 51.08)"
Sec. 40-9.,Taps to be made by city personnel.,"All sewer and water taps will be made by city personnel, after all application forms
               have been completed and required fees paid.

               (Code 2008, § 51.09)"
Sec. 40-10.,Out-of-city services.,"The city is not required to furnish water or sewer services to consumers beyond the
               corporate limits, or to continue to supply, once begun, such services. The city reserves
               the right to provide services to such consumer it deem advisable and to, at any time,
               wholly or partially, discontinue such water and sewer services to any consumers located
               outside the corporate limits of the city.

               (Code 2008, § 51.10)"
Sec. 40-13.,Minimum qualifications for residential water utility account holders.,"(a)

               No water utility shall be furnished to a residence unless the applicant is:

               (1)

               Living;

               (2)

               Residing at the proposed residential service address; and

               (3)

               At least 18 years of age.

               (b)

               A residential water utility account shall be terminated unless at all times during
               the pendency of the account, the account holder is:

               (1)

               Living;

               (2)

               Residing at the residential service address; and

               (3)

               At least 18 years of age.

               (c)

               The requirement that an applicant or account holder reside at the residential service
               address shall not apply where the applicant or account holder notifies the city in
               writing that the subject residence is unoccupied and the residence is and continues
               to be unoccupied.

               (Ord. No. 2013-035, § 1, 8-19-2013; Ord. No.
               
                  2018-024
                  
               , § 1, 11-19-2018)

            Editor's note— 
               Ord. No.
               
                  2018-024
                  
               , § 1, adopted November 19, 2018, amended the Code by repealing former § 40-13 in
               its entirety, and renumbering former § 40-14 as a new § 40-13. Former § 40-13 pertained
               to a required utility service deposit; and derived from the Code of 2008, § 51.22."
Secs. 40-14—40-44.,Reserved.,NULL
ARTICLE II.,WATER,NULL
DIVISION 1.,GENERALLY,NULL
Secs. 40-45—40-61.,Reserved.,NULL
DIVISION 2.,WATERWORKS REGULATIONS,NULL
Sec. 40-62.,City's obligation to furnish water; inability to supply water to patrons.,"(a)

               The city is not required to furnish water of any special or specific analysis or in
               any special or specified amount but only undertakes to furnish such water and amount
               of water that may be supplied from the wells of the city, or such other sources as
               the city may select, and in an amount within the capacity of the city's pumping plants
               and storage facilities.

               (b)

               If an accident impedes the city's ability to supply water to its patrons or to the
               municipality for the prevention or suppression of fire, the city will not be liable
               for damages by reason of any such failure to any patron of the water system, or to
               any person whose property may have been destroyed by fire or otherwise damaged.

               (Code 2008, § 51.60)"
Sec. 40-63.,Out-of-city water services.,"If any person or business entity located outside the city limits desires city water
               service and pays all expenses incurred in extending the water mains and secures all
               necessary easements, so the city incurs no expense in such connection, and the city
               elects to provide such water service to such patron, and provided all mains and lines
               installed shall meet the requirements and approval of the director of public works,
               then such patron shall be furnished water at a rate of 150 percent of the in-city
               rate.

               (Code 2008, § 51.61)"
Sec. 40-64.,Waste of water.,"In case of willful or unreasonable waste of water by any patron, the city shall have
               the right to cut off the water supply and recover all damages. Such action of cutting
               off the water supply may be taken by the director of public works at any time after
               he shall learn of said waste.

               (Code 2008, § 51.62)"
Sec. 40-65.,Regulations affecting connections to system.,"All connections to the city waterworks system within the corporate limits shall be
               made in the following manner:

                  (1)

                  It shall be the policy of the city to supply water to its patrons through mains owned
                  or controlled by the city and which shall be located in the streets, between the curb
                  and sidewalk lines, or in alleys adjacent to property being served, or on easements
                  controlled or owned by the city.

                  (2)

                  The city may assess the estimated cost of breaking and replacing pavement necessary
                  to make such connection, in addition to the regular service connection charge, such
                  assessment to be paid with such service charge, and the difference between assessment
                  and actual cost of such breaking and replacing shall be refunded to the patron when
                  such work has been completed.

                  (3)

                  In addition to the above charges, the city may assess the estimated cost of boring
                  under or crossing over any street or highway in furnishing water services.

                  (4)

                  All lines constructed and meters installed under the provisions of this section shall
                  be the property of the city and the city shall have full control and jurisdiction
                  over such lines and meters.

               (Code 2008, § 51.63)"
Sec. 40-66.,Turning on or off at meter.,"No person except authorized employees of the utility commission shall turn water on
               or off at the stopcock in the meter box without a written permit first being obtained
               from the utility commission.

               (Code 2008, § 51.64)"
Sec. 40-67.,Bypassing meter.,"No person shall interfere with or bypass the city's meter in such a manner as to obtain
               water without the full amount thereof being registered on such meter. Service shall
               be permanently disconnected from any account where a bypass or other such device is
               discovered. Such account shall be reconnected only at the discretion of the city and
               only after payment for water used, as estimated by the city, at twice the rate otherwise
               applicable plus the cost of rerouting and repairing the service to register water
               use properly on the meter.

               (Code 2008, § 51.65)"
Sec. 40-68.,Damage to meter.,"Service will be discontinued to any account where any meter or other city water equipment
               is damaged. Service will not be reconnected until all damage is paid for and all outstanding
               bills are paid.

               (Code 2008, § 51.67)"
Sec. 40-69.,Secondary taps prohibited.,"No patron of the waterworks system shall permit any person to tap any water pipe leading
               into his premises without the consent of the city council. Owners or occupants of
               premises having service pipes and connections will be held strictly responsible for
               all uses of water from such service by other parties.

               (Code 2008, § 51.68)"
Sec. 40-70.,Dual connections prohibited.,"Dual connections (more than one user on a single meter) shall be prohibited.

               (Code 2008, § 51.69)"
Sec. 40-71.,Patron responsible for service line condition and water usage.,"Water consumers shall keep their own service pipe lines and apparatus in good repair
               and condition and shall prevent all unnecessary waste of water. No claim shall be
               made against the city by reason of breakage of any service pipe or service cock, or
               from any damage by reason of shutting off the water to repair mains, or for other
               purposes, and in case of negligence or refusal to promptly repair any imperfection
               in the service pipes, lines, stops, or other fixtures, the director of public works
               may cause the same to be done at the expense of the owner, which expense shall be
               paid to the city before water service is returned to the patron.

               (Code 2008, § 51.70)"
Sec. 40-72.,Fire hydrant use restricted.,"Every hydrant placed for the purpose of extinguishing fires is hereby declared to
               be a public hydrant and no person, other than members of the fire department, the
               state department of health, and those authorized by the director of public works shall
               open any such hydrant or draw or attempt to draw water from same or in any manner
               interfere with said hydrants.

               (Code 2008, § 51.71)"
Sec. 40-73.,Access to meter.,"If easy access to a meter is obstructed by a patron or if entrance to the premises
               is made dangerous by a vicious dog or otherwise, thereby preventing a meter reader
               from obtaining a meter reading, the charges may be estimated for the amount not to
               exceed double the normal charge. If the patron does not remedy the condition or should
               he refuse to pay the estimated bill, the city shall have the right to discontinue
               water service without further notice and service shall not be resumed until the obstructive
               and/or dangerous conditions have been remedied and all charges for water service paid.

               (Code 2008, § 51.72)"
Sec. 40-74.,Inaccurate metering.,"If a meter fails to register the water actually consumed by reason of the meter being
               out of order, the city may estimate the charge by the customary consumption of the
               patron, taking into consideration the season of the year.

               (Code 2008, § 51.73)"
Sec. 40-75.,Temporary service interruptions.,"The city reserves the right to temporarily discontinue and to reconnect water supply
               to all consumers, without notice, for the purpose of making repairs, connections,
               extensions, and cleaning of mains, machinery, reservoir, or any part of the city water
               and sewer department property.

               (Code 2008, § 51.74)"
Secs. 40-76—40-93.,Reserved.,NULL
DIVISION 3.,METERS,NULL
Sec. 40-199.,Definitions.,"(a)

               Terms. Unless the context specifically indicates otherwise, the following terms and phrases,
               as used in this division shall have the meanings designated in this section.

               Approval authority means the director in an NPDES state with an approved state municipal water pollution
               control and abatement program.

               Authorized representative of a significant waste discharger means an authorized representative may be:

                  (1)

                  A principal executive officer of at least the level of vice-president, if the discharger
                  is a corporation;

                  (2)

                  A general partner or proprietor if the discharger is a partnership or proprietorship,
                  respectively;

                  (3)

                  A duly authorized representative responsible for the overall operation of the facilities
                  from which the discharger originates.

               Biochemical oxygen demand (BOD) means the quantity of oxygen utilized in the biochemical oxidation of organic matter
               under standard laboratory conditions for five days at 20 degrees Celsius, expressed
               in terms of weight and concentrations (milligram per liter or mg/l).

               Board means the Texas Water Development Board.

               Building sewer means a sewer conveying wastewater from the premises of a user to the POTW (also
               called house lateral and house connection).

               Categorical standards means national categorical pretreatment standards or treatment standards.

               Commission means the Texas Commission on Environmental Quality.

               Control authority refers to the approved authority, defined above, or the director of public works.

               Control manhole means a manhole giving access to a building sewer at some point before the building
               sewer discharge mixes with other discharges in the public sewer.

               Control point means a point of access to a course of discharge before the discharge mixes with
               other discharges in the public sewer.

               Cooling water means the water discharged from any use such as air conditioning, cooling, or refrigeration,
               or to which the only pollutant added is heat.

               Direct discharge means the discharge of treated or untreated wastewater directly to the waters of
               the state.

               Director of public works means the person designated by the city to supervise the operation of the utilities
               commission and who is charged with certain duties and responsibilities by this chapter,
               or his duly authorized representative.

               Environmental protection agency, or EPA means the U.S. Environmental Protection Agency, or where appropriate the term may
               also be used as a designation for the administrator or other duly authorized official
               of said agency.

               ETJ refers to extraterritorial jurisdiction.

               Grab sample means sample which is taken from a waste stream or surface runoff on a one time basis
               with no regard to the flow in the stream and without consideration of time.

               Holding tank means any waste from holding tanks such as vessels, chemical toilets, campers, trailers,
               septic tanks, and vacuum pump tank trucks.

               Indirect discharge means the discharge or introduction of nondomestic pollutants from any source regulated
               under section 307(B) or (C) of (33 USC 1317) into the POTW or waters of the State
               of Texas.

               Industrial user means a source of indirect discharge which does not constitute a discharge of pollutants
               under regulations issued pursuant to section 402 of 33 USC 1342.

               Milligrams per liter (mg/l) means a weight to volume ratio; the mg/l value multiplied by the factor 8.34 shall
               be equivalent to pounds per million gallons of water.

               National pollution discharge elimination system or NPDES permit means a permit issued pursuant to section 402 of 33 USC 1342.

               National prohibitive discharge standard or prohibitive discharge standard means any regulation developed under the authority of 307(b) of 33 USC 1342 40 CFR,
               section 403.5 of S.B. No. 835.

               Natural outlet means any outlet into a watercourse, ditch, lake, or other body of surface water
               or groundwater.

               Normal domestic wastewater means wastewater excluding industrial wastewater discharged by a person into sanitary
               sewers and in which the average concentration of total suspended solids is not more
               than 250 mg/l and BOD is not more than 250 mg/l.

               Overload means the imposition of organic or hydraulic loading on a treatment facility in excess
               of its engineered design capacity.

               pH means the logarithm (base 10) of the reciprocal of the concentration of hydrogen
               ions expressed in grams per liter of solution.

               Pollutant means any dredged spoil, solid waste, incinerator residue, sewage, garbage, sludge,
               mutations, chemical waste, biological materials, radioactive materials, heat, wrecked
               or discharged equipment, rock, sand, cellar dirt and industrial, municipal, and agricultural
               waste discharged into water.

               Pollution means the manmade or man-induced alteration of the chemical, physical, biological,
               and radiological integrity of water.

               Pretreatment or treatment means the reduction of the amount of pollutants, the elimination of pollutants, or
               the alteration of the nature of pollutants, or the alteration of this nature of pollutant
               properties in wastewater to a less harmful state prior to or in lieu of discharging
               or otherwise introducing such pollutants into a POTW or the waters of the state.

               Publicly owned treatment works (POTW) means sewers or other conveyances and treatment plants.

               Significant waste dischargers means any discharger discharging 25,000 gallons or more per day (24-hour period),
               has a waste toxic pollutant as defined pursuant to section 307 of 33 USC 1292 or state
               statutes and rules, and is found by the city, state control agency, or the U.S. Environmental
               Protection Agency, to have significant impact, either singly or in combination with
               other contributing industries on the waters of the State of Texas.

               Slug means any discharge of water, wastewater, or industrial waste which in concentration
               of any given constituent or in quantity of flow exceeds for any period of duration
               longer than 15 minutes more than five times the average 24-hour concentration or flows
               during normal operation.

               Standard Industrial Classification (SIC) means a classification pursuant to the Standard Industrial Classification Manual
               issued by the executive officer of the President, Office of Management and Budget,
               1972.

               Stormwater means any flow occurring during or following any form of natural precipitation and
               resulting therefrom.

               Suspended solids means solids measured in mg/l that either float on the surface of, or are in suspension
               in, water, wastewater, or other liquids, and which are largely removable by a laboratory
               filtration device.

               Toxic pollutant means any pollutant or combination of pollutants listed as toxic in regulations promulgated
               by the administration of the EPA under the provisions of the CWA 307(a) or other acts.

               Trap means a device designed to skim, settle, or otherwise remove grease, oil, sand, flammable
               wastes, or other harmful substances.

               Wastewater means the liquid and water-carried industrial or domestic waste from dwellings, commercial
               buildings, industrial facilities, and stormwater that may be present, whether treated
               or untreated, which is permitted to enter the POTW or waters of the State of Texas.

               Wastewater facilities means all facilities for collection, pumping, treating, and disposing of wastewater
               and industrial wastes.

               Wastewater treatment plant means any city-owned facilities, devices, and structures used for receiving, processing,
               and treating wastewater, industrial waste, and sludges from the sanitary sewers.

               Waters of the state means all streams, lakes, ponds, marshes, watercourses, waterways, wells, springs,
               reservoirs, aquifers, irrigation systems, drainage systems and all other bodies or
               accumulations of water, surface or underground, natural or artificial, public or private,
               which are contained within, or flow through or border upon the state or any portion
               thereof and including any other water as defined by V.T.C.A., Water Code § 26.001.

               (b)

               Abbreviations.

                              BOD

                              Biochemical oxygen demand

                              CFR

                              Code of Federal Regulations

                              COD

                              Chemical oxygen demand

                              EPA

                              Environmental Protection Agency

                              l

                              liter

                              mg/l

                              milligrams per liter

                              NPDES

                              National pollutant discharge elimination system

               &nbsp;

               (Code 2008, § 51.100)"
Sec. 40-216.,Reports of investigations.,"All reports of investigations of water pollution incidents should be completed promptly.
               The report should include appropriate descriptions, sample data, maps, photographs,
               etc., to accurately and fully depict: The waste generating activities or the incident
               in which a spill occurred.

               (Code 2008, § 51.118)"
Secs. 40-217—40-240.,Reserved.,NULL
ARTICLE IV.,SOLID WASTE COLLECTION AND DISPOSAL,"Footnotes:  --- (5) ---
            
            State Law reference— 
               Minimum standards of sanitation and health protection measures, V.T.C.A., Health and
               Safety Code ch. 341; local regulation of sanitation, V.T.C.A., Health and Safety Code
               ch. 342; Solid Waste Disposal Act, V.T.C.A., Health and Safety Code ch. 361; municipal
               solid waste, V.T.C.A., Health and Safety Code ch. 363; litter, V.T.C.A., Health and
               Safety Code ch. 365."
Sec. 40-94.,Meter reread procedures and fees; testing of meter.,"(a)

               A water system customer believing a water meter reading to be inaccurate may request
               a rereading. The person requesting a water meter to be reread will be charged a fee
               as currently established or as hereafter adopted by resolution of the city council
               from time to time. If the city is in error in the original reading or if the meter
               is tested and found to register more than the warranty of the meter manufacturer,
               the fee shall be refunded to the customer and appropriate adjustment in the water
               service charge shall be made.

               (b)

               Should a customer demand that a meter be tested for accuracy, he shall make a deposit
               equal to the amount the city must pay to have the meter tested. If the test shows
               that the meter is registering within the warranty of the meter manufacturer or registering
               less water than is actually used, the deposit shall become the property of the city;
               otherwise, the deposit shall be refunded to the user.

               (c)

               If the meter has been misread or the meter is found to register more than the warranty
               of the meter manufacturer, billings will be adjusted to reflect the inaccuracy. Adjustments
               shall be limited to the previous three billing periods.

               (d)

               If a customer has unusually high consumption during a billing period, the customer
               may request a mapping of their water meter to determine when the high consumption
               occurred. One mappings per calendar year will be allowed for each meter, free of charge.
               Any additional mappings will be charged a $25.00 fee.

               (Code 2008, § 51.80; Ord. No.
               
                  2018-021
                  
               , § 1, 10-15-2018)"
Sec. 40-95.,Lead banned.,"The following provisions apply to the use of lead in plumbing:

                  (1)

                  The use of pipes and pipe fittings that contain more than 8.0 percent lead, or solders
                  and flux that contain more than 0.2 percent lead are prohibited in the following circumstances:

                  a.

                  For installation and repair of any public water supply; and

                  b.

                  For installation or repair of plumbing in a residential or nonresidential facility
                  providing water for human consumption and connected to a public drinking water supply
                  system.

                  (2)

                  This requirement will be waived for lead joints that are necessary for repairs to
                  cast iron pipe.

               (Code 2008, § 51.81)"
Sec. 40-96.,Physical connection between water and sewer lines prohibited.,"No physical connection shall be made between a drinking water supply and a sewer line.
               Any appurtenance shall be designed and constructed so as to prevent any possibility
               of sewage entering the drinking water system.

               (Code 2008, § 51.82; Ord. No. 2001-002, 4-9-2001)"
Sec. 40-97.,"Backflow, siphonage.","(a)

               No water connection from any public drinking water supply system shall be made to
               any establishment where an actual or potential contamination or system hazard exists
               without an air gap separation between the drinking water supply and the source of
               potential contamination. The containment air gap is sometimes impractical and, instead,
               reliance must be placed on individual internal air gaps or mechanical backflow prevention
               devices. Under these conditions, additional protection shall be required at the meter
               in the form of a backflow prevention device (in accordance with AWWA Standards C510
               and C511, and AWWA Manual M14) on those establishments handling substances deleterious
               or hazardous to the public health. The water purveyor need not require backflow protection
               at the water service entrance if an adequate cross connection control program is in
               effect that includes an annual inspection and testing by a certified backflow prevention
               device tester. It will be the responsibility of the water purveyor to ensure that
               these requirements are met.

               (b)

               No water connection from any public drinking water supply system shall be made to
               any condensing, cooling or industrial process or any other system of non-potable usage
               over which the public water supply system officials do not have sanitary control,
               unless the said connection is made in accordance with the requirements of subsection
               (a) of this section. Water from such systems cannot be returned to the potable water
               supply.

               (c)

               Overhead bulk water dispensing stations must be provided with an air gap between the
               filling outlet hose and the receiving tank to protect against backsiphonage and cross-contamination.

               (d)

               The use of a backflow prevention device at the service connection shall be considered
               as additional backflow protection and shall not negate the use of backflow protection
               on internal hazards as outlined and enforced by the plumbing code.

               (Code 2008, § 51.83; Ord. No. 2001-022, 4-9-2001)"
Sec. 40-98.,"Backflow prevention assembly testing, record retention.","(a)

               All backflow prevention assemblies shall be tested upon installation by a recognized
               backflow prevention assembly tester and certified to be operating within specifications.
               Backflow prevention assemblies which are installed to provide protection against high
               health hazards must also be tested and certified to be operating within specifications
               at least annually by a recognized backflow prevention device tester.

               (b)

               Recognized testers shall have completed a commission-approved course on cross connection
               control and backflow prevention and pass an examination if administered by the TNRCC
               or its designated agent. The accredited tester classification shall be broken down
               into two categories, as follows:

               (1)

               The general tester is qualified to test and repair backflow prevention assemblies
               on any domestic, commercial, industrial, or irrigation service.

               (2)

               The fireline tester is qualified to test and repair backflow prevention assemblies
               on firelines only. The state fire marshal's office requires that a person performing
               maintenance on firelines must be employed by an approved fireline contractor.

               (c)

               Individuals that can show proof of completion of a course and passage of an exam based
               on the ABPA or ASSE National exam, prior to the effective date of these regulations,
               may be recognized as accredited for the term of current certification (not to exceed
               three years).

               (d)

               Gauges used in the testing of backflow prevention assemblies shall be tested for accuracy
               annually in accordance with the University of Southern California's Foundation of
               Cross Connection Control and Hydraulic Research and/or the American Waterworks Association
               Manual of Cross Connection Control (Manual M-14). Public water systems shall require
               testers to include test gauges serial numbers on test and maintenance report forms
               and ensure testers have gauges tested for accuracy.

               (e)

               A test report must be completed by the recognized backflow prevention assembly tester
               for each assembly tested. This signed and dated original must be submitted to the
               public water supplier for recordkeeping purposes. Should the tester choose to use
               a report format which differs from that found herein, it must minimally contain all
               information required by the report form.

               (f)

               Test and maintenance reports shall be retained for a minimum of three years. The city
               must provide these records to TNRCC staff for inspection upon request.

               (g)

               All backflow prevention assembly testers must annually register with the city. A person
               commits an offense if the person repairs or tests the installation or operation of
               backflow prevention assemblies without first registering the service with the city.
               Registration shall be on forms provided by the city and shall, at a minimum, include:

               (1)

               A copy of the applicant's current certification issued by the state commission on
               environmental quality, pursuant to 30 TAC § 30.51;

               (2)

               The business name, telephone number, and address of applicant;

               (3)

               Proof of the applicant's general liability insurance coverage;

               (4)

               A copy of the applicant's calibration report; and

               (5)

               An annual registration fee in the amount of $100.00.

               The registration requirements of this section are hereby declared to be necessary
               to protect the public health of the community and are hereby made applicable to all
               persons who currently repair or test the installation or operation of backflow prevention
               assemblies in the city. All persons who currently repair or test the installation
               or operation of backflow prevention assemblies within the city shall have 30 days
               from the effective date of the ordinance from which this section is derived to register
               with the city, in accordance with this section. Registration in each subsequent year
               is required no later than January 31st of each year.

               (Code 2008, § 51.84; Ord. No. 2001-022, 4-9-2001; Ord. No. 2013-041, § 1, 9-16-2013)"
Sec. 40-99.,"Drinking water, hauling tanks.","Connections for filling and emptying drinking water hauling tanks shall be properly
               protected to prevent the possible entrance of contamination. These opinions must be
               provided with caps and keeper chains.

               (Code 2008, § 51.85; Ord. No. 2001-022, 4-9-2001)"
Sec. 40-100.,Customer service inspections.,"(a)

               A customer service inspection certification shall be completed prior to providing
               continuous water service to new construction, on any existing service when the water
               purveyor has reason to believe that cross connections or other potential contaminant
               hazards exist, or after any material improvement, correction, or addition to the private
               water distribution facilities.

               (b)

               Individuals with the following credentials shall be recognized as capable of conducting
               a customer service inspection certification:

               (1)

               Plumbing inspectors and water supply protection specialists licensed by the state
               board of plumbing examiners.

               (2)

               Certified waterworks operators and members of other water-related professional groups
               who have completed a training course, passed an examination administered by the commission
               or its designated agent, and hold an endorsement granted by the commission or its
               designated agent.

               (3)

               Licensed plumbers may perform customer service inspections on single-family residential
               services.

               (c)

               As potential contaminant hazards are discovered, they shall be promptly eliminated
               to prevent possible contamination of the water supplied by the public water system.
               The existence of a serious threat to the integrity of the public water supply shall
               be considered sufficient grounds for immediate termination of water service. Service
               can be restored only when the source of potential contamination no longer exists,
               or until sufficient additional safeguards have been taken.

               (d)

               Copies of properly completed inspection certifications must be kept on file by the
               water purveyor and made available, upon request, for commission review. These certifications
               shall be retained for a minimum of ten years. If the certification form provided in
               30 TAC § 290.47(d) is not used, the inspection certifications must minimally include
               the name and registration number of the inspector, the type of registration (plumbing
               inspectors, water supply protection specialists, certified operator, etc.), and be
               dated and signed. It must also certify that:

               (1)

               No direct connection between the public drinking water supply and a potential source
               of contamination exists. Potential sources of contamination are isolated from the
               public water system by an air gap or an appropriate backflow prevention assembly in
               accordance with commission regulations. See section 40-97, pertaining to backflow siphonage.

               (2)

               No cross connection between the public drinking water supply and a private water source
               exists. Where an actual air gap is not maintained between the public water supply
               and a private water supply, an approved reduced pressure-zone backflow prevention
               assembly is properly installed and a service agreement exists for annual inspection
               and testing by a recognized backflow prevention assembly tester. See section 40-98, pertaining to recognized backflow prevention assembly tester.

               (3)

               No connection exists which would allow the return of water used for condensing; cooling
               or industrial processes back to the public water supply.

               (4)

               No pipe or pipe fitting which contains more than 8.0 percent lead exists in private
               water distribution facilities installed on or after July 1, 1988.

               (5)

               No solder or flux which contained more than 0.2 percent lead exists in private water
               distribution facilities installed on or after July 1, 1988.

               (e)

               These customer service inspection requirements are not considered acceptable substitutes
               for and shall not apply to the sanitary control requirements stated in 30 TAC § 29.0115(5).

               (f)

               A customer service inspection is an examination of the private water distribution
               facilities for the purpose of providing or denying water service. This inspection
               is limited to the identification and prevention of cross connections, potential contaminant
               hazards and illegal lead materials. The customer service inspector has no authority,
               and no obligation, beyond the scope of these regulations. A customer service inspection
               is not a plumbing inspection as defined and regulated by the Texas State Board of
               Plumbing Examiners (TSBPE). A customer service inspector is not permitted to perform
               plumbing inspections. State statute and TSBPE adopted rules that require TSBPE licensed
               plumbing inspectors to perform plumbing inspections of all new plumbing and alterations
               or additions to existing plumbing within the municipal limits of all cities, towns,
               and villages with 5,000 or more inhabitants, or within smaller like entities which
               have adopted the plumbing license law by ordinance. The customer service inspection
               shall be performed by the plumbing inspector as a part of this more comprehensive
               plumbing inspection.

               (Code 2008, § 51.86)"
Sec. 40-102.,"Backflow prevention devices; installing, testing.","Every commercial water customer with an actual or potential contamination or system
               hazard without an air gap separation between the drinking water supply and the source
               of potential contamination, and every customer with a sprinkler system connected to
               the public drinking water system shall, at his own expense, install and maintain a
               backflow prevention device meeting the requirements of section 40-98. Such devices must be tested at least annually and the results reported as required
               by section 40-98.

               (Code 2008, § 51.88; Ord. No. 2001-038, 8-14-2001)"
Secs. 40-103—40-132.,Reserved.,NULL
DIVISION 4.,WATER CONSERVATION,"Footnotes:  --- (2) ---
            
            State Law reference— 
               Water conservation advisory council, V.T.C.A., Water Code ch. 10; water conservation, V.T.C.A., Health and Safety Code ch. 373."
Sec. 40-133.,Authorization.,"The mayor is authorized to declare that a shortage of water exists in the city at
               any time that in his opinion the unrestrained use of water will create a danger to
               the water supply of the city, and during such times he may designate when water may
               be used by customers and for what purpose.

               (Code 2008, § 51.50)"
Sec. 40-134.,Notice requirements.,"Notice of such restricted use of water shall be given by publication in the official
               newspaper of the city one time, by posting notices at three places in the city, or
               by actual notice to any person by an officer of the city.

               (Code 2008, § 51.51)"
Sec. 40-135.,Outside watering.,"All persons are prohibited from using water in the city for the purpose of watering
               lawns and flowers and washing automobiles and trucks when the mayor has declared that
               a shortage of water exists, except that the mayor may designate certain hours when
               certain groups of persons may use water for the above purposes during the existence
               of a shortage of water.

               (Code 2008, § 51.52)"
Secs. 40-136—40-139.,Reserved.,NULL
DIVISION 5.,DROUGHT CONTINGENCY PLAN FOR A RETAIL PUBLIC WATER SUPPLIER,NULL
Sec. 40-140.,"Declaration of policy, purpose, and intent.","In order to conserve the available water supply and protect the integrity of water
               supply facilities, with particular regard for domestic water use, sanitation, and
               fire protection, and to protect and preserve public health, welfare, and safety and
               minimize the adverse impacts of water supply shortage or other water supply emergency
               conditions, the city hereby adopts the following regulations and restrictions on the
               delivery and consumption of water.

               Water uses regulated or prohibited under this drought contingency plan (the plan)
               are considered to be non-essential and continuation of such uses during times of water
               shortage or other emergency water supply condition are deemed to constitute a waste
               of water which subjects the offender(s) to penalties in section 40-149 of this plan.

               (Ord. No. 2012-012, § 1, 5-21-2012)"
